147 7349
109 1 95
95 13 9
68 117 19
34 69 55
115 113 9
4 18 45
44 101 25
102 147 59
55 7 24
34 30 63
20 9 29
2 96 8
132 78 65
84 82 94
99 33 13
120 77 81
49 139 46
132 16 89
61 84 34
48 77 46
73 64 43
23 8 41
104 147 29
4 9 90
109 88 33
44 107 45
136 131 40
66 119 50
79 2 89
16 47 40
97 146 54
80 55 44
112 123 99
24 76 37
60 75 45
91 117 30
74 7 7
14 127 12
124 94 32
45 104 16
36 96 54
83 15 90
45 43 6
68 82 51
101 25 55
79 108 84
75 21 87
62 50 22
139 110 16
63 72 71
147 97 16
85 105 11
62 129 22
45 57 62
76 46 3
74 7 20
63 128 87
86 32 31
79 52 44
23 137 33
26 93 99
92 27 36
48 122 7
94 24 22
54 44 22
103 41 93
102 139 22
87 6 39
75 118 33
86 110 72
54 120 17
83 136 100
128 41 59
89 79 57
71 146 46
26 38 55
91 145 88
142 100 62
105 4 60
88 134 49
117 112 69
119 67 95
120 122 92
97 142 15
98 118 35
67 11 38
54 6 36
113 133 56
44 55 2
68 51 54
144 141 47
66 89 25
72 45 8
68 85 52
127 71 96
27 15 17
89 57 15
118 54 85
21 80 93
65 131 82
89 60 20
60 2 64
122 16 50
13 52 41
129 115 75
61 37 82
98 108 84
37 27 95
30 46 62
129 45 16
9 22 26
94 12 38
20 47 13
2 113 98
30 23 51
97 42 26
140 96 53
100 90 64
61 87 24
126 52 35
105 130 10
115 104 39
61 64 40
51 75 67
44 37 82
127 129 50
18 45 7
42 97 41
9 71 39
67 59 68
6 93 9
65 123 96
133 59 97
44 66 86
59 16 65
99 54 6
83 99 5
4 137 88
76 8 100
115 30 66
101 28 45
81 140 49
33 3 52
81 142 95
7 55 20
73 65 94
36 129 44
115 41 53
35 70 26
84 142 92
100 55 96
71 61 68
3 115 22
50 79 60
96 120 28
60 89 35
129 125 92
38 129 78
142 8 44
55 42 86
19 84 42
1 117 74
94 23 14
135 64 78
71 14 77
12 5 49
139 131 9
121 143 99
120 81 39
91 29 93
92 139 26
62 50 77
6 56 89
19 95 29
103 25 83
119 98 76
104 6 94
32 54 63
26 54 78
37 134 58
5 105 18
81 61 11
145 131 44
36 75 63
52 43 3
81 21 60
115 25 98
47 60 39
90 108 22
53 139 61
93 73 66
103 101 54
97 22 5
79 130 32
98 77 89
44 74 70
90 96 25
66 86 38
65 89 19
91 90 99
126 72 86
101 84 6
52 45 62
88 78 64
26 7 100
101 1 8
135 126 100
57 43 11
43 60 3
38 123 87
131 123 46
23 21 10
101 117 75
30 41 39
140 18 67
16 104 79
69 66 97
122 109 40
23 83 70
106 60 88
116 101 52
48 100 70
72 55 84
135 83 36
57 111 37
69 98 22
53 145 94
58 45 60
97 33 32
143 32 3
39 118 16
42 53 53
37 103 37
56 130 23
78 100 31
33 29 39
55 131 79
106 115 37
14 89 56
6 3 63
23 13 24
145 79 85
114 72 94
104 69 14
50 147 7
47 57 9
72 125 18
4 23 41
