158 4900
97 149 74
106 55 25
27 148 31
57 130 3
25 54 25
134 64 2
154 75 12
88 112 86
48 64 99
88 62 85
65 95 64
119 39 89
23 16 5
2 87 3
86 54 88
133 73 62
128 92 22
45 106 72
131 119 36
86 93 16
139 75 68
142 31 23
62 114 53
109 59 78
122 110 29
121 21 33
74 33 83
158 34 37
34 42 37
2 85 78
121 64 31
67 110 72
31 137 84
125 18 85
69 139 47
66 9 57
115 13 43
28 83 89
42 151 55
150 97 23
68 58 90
6 124 40
52 71 57
67 62 37
17 27 58
157 5 70
85 25 70
87 44 76
121 5 66
10 115 12
10 156 13
145 86 76
55 74 91
117 83 80
153 140 42
47 52 26
122 87 22
59 129 49
94 9 25
55 7 37
111 79 61
103 129 72
2 55 69
53 11 95
135 12 93
14 28 33
39 56 6
32 108 2
77 148 6
113 88 59
2 32 85
135 92 85
83 150 50
147 51 8
158 130 23
46 58 98
60 79 51
148 106 92
145 96 18
122 148 10
38 19 93
13 118 19
76 150 83
57 127 67
42 55 100
145 106 68
75 12 2
142 136 30
98 58 30
140 55 49
155 127 17
92 60 56
71 112 41
136 35 49
57 55 84
59 120 57
86 93 6
105 97 10
90 145 21
16 132 12
133 117 95
141 74 30
83 156 65
139 13 83
40 9 76
145 131 97
69 146 40
133 34 60
147 2 7
124 54 80
61 141 28
43 88 20
97 19 75
104 107 91
122 71 27
57 153 97
152 142 40
124 77 100
158 118 26
151 136 28
84 52 98
89 140 59
141 75 31
16 49 99
90 155 7
116 103 75
63 53 93
24 5 75
53 130 65
33 150 42
150 81 5
148 75 81
11 109 96
149 90 5
25 83 55
90 27 86
11 80 69
126 133 28
115 101 2
137 66 75
156 90 56
45 95 30
40 16 92
111 113 71
101 143 24
119 57 73
100 60 46
8 136 33
139 149 21
51 62 22
117 63 92
149 49 89
59 138 88
131 128 88
136 151 94
114 110 62
19 49 100
18 6 90
3 21 29
1 156 81
135 71 16
154 46 73
10 48 97
71 61 88
80 58 39
127 23 42
43 109 56
46 110 13
11 52 91
33 64 96
120 46 97
78 124 78
46 120 63
86 90 98
142 14 58
100 118 28
32 68 41
76 151 38
137 96 74
32 120 51
50 147 70
27 85 77
38 23 53
24 100 96
3 17 36
36 114 98
146 119 21
131 100 3
14 87 50
142 157 79
82 120 21
61 158 71
106 22 29
79 57 28
72 42 82
41 17 38
141 139 6
58 5 41
123 130 97
10 75 27
130 63 53
103 97 6
17 84 42
47 125 62
24 109 37
15 22 74
58 123 33
125 114 2
22 155 11
19 73 61
142 29 15
109 84 87
72 76 80
42 26 4
110 119 75
123 111 83
67 132 76
45 67 65
138 60 97
52 40 13
52 100 64
90 77 77
92 98 50
132 156 49
139 102 43
120 51 45
108 49 17
23 72 6
111 143 84
20 35 2
15 51 55
126 91 21
88 65 47
59 20 86
115 91 64
18 152 98
130 41 43
6 157 53
75 53 43
3 92 43
87 67 45
39 32 2
48 111 24
91 37 94
133 149 14
55 8 62
13 16 96
37 80 79
52 118 53
153 122 90
158 117 28
155 149 44
130 134 90
55 154 36
66 84 8
32 63 60
124 109 19
66 144 59
77 9 57
111 8 17
97 108 7
46 2 61
80 122 50
111 88 9
27 100 74
42 2 69
82 115 4
135 138 32
149 99 21
84 68 9
54 118 82
36 63 1
127 131 96
42 74 57
153 21 43
74 29 11
110 14 35
23 77 98
53 45 73
145 136 34
102 9 23
29 154 74
99 47 26
19 16 34
141 78 8
110 141 76
115 106 84
94 117 68
91 95 76
99 70 9
33 109 93
108 98 35
66 147 69
141 114 47
123 87 4
105 49 57
97 8 41
158 130 88
15 40 77
81 156 16
28 89 61
147 61 37
58 64 81
97 10 87
13 130 95
132 67 69
70 104 48
30 53 56
66 5 21
64 45 64
149 88 20
28 71 49
3 75 52
95 26 39
52 99 53
84 154 89
145 133 86
26 21 55
58 122 58
45 77 100
11 117 44
110 104 86
134 18 62
109 112 59
157 139 4
116 145 21
103 91 38
52 154 25
49 83 84
146 150 56
69 130 17
145 153 100
148 60 18
121 80 30
95 28 84
13 120 22
145 55 59
107 3 95
48 3 36
53 103 27
96 158 19
82 148 50
81 19 24
152 74 86
51 90 64
130 108 86
73 114 99
82 46 2
109 107 65
22 116 14
133 83 59
90 41 86
68 96 28
145 37 10
9 95 85
1 145 15
124 120 19
139 96 74
25 75 36
45 93 85
146 89 81
126 109 1
51 94 70
56 142 76
34 17 76
84 52 55
90 62 65
143 51 37
105 25 63
7 88 89
157 85 10
106 133 97
25 154 36
146 117 36
121 83 76
25 120 43
12 20 93
97 15 34
136 65 6
43 103 78
87 114 51
75 144 92
71 72 82
25 41 15
20 93 96
21 53 84
66 11 49
97 30 19
73 11 100
136 45 33
148 93 28
60 146 16
47 38 38
61 33 20
141 41 52
68 139 3
40 115 64
154 147 82
103 83 52
41 51 11
56 88 82
112 32 44
153 126 27
21 42 10
92 85 55
22 4 51
83 45 24
57 6 97
61 86 31
151 76 33
82 26 42
97 83 66
55 73 14
126 1 72
114 51 91
42 86 35
83 121 19
105 10 96
76 104 63
135 125 65
148 151 10
10 1 63
89 67 44
103 81 63
15 101 54
88 137 16
39 64 78
122 41 59
21 57 31
48 2 61
97 128 73
128 152 90
9 20 45
157 15 80
38 72 51
132 74 75
10 48 31
109 134 9
19 148 76
62 99 90
26 59 12
121 73 17
143 37 7
102 43 24
115 121 72
67 139 36
138 89 82
29 53 79
108 92 43
17 116 68
105 115 90
94 82 18
60 21 34
71 95 20
82 66 92
78 40 49
143 58 66
152 72 8
67 101 9
3 72 50
79 1 26
148 139 13
136 41 48
35 91 44
151 92 54
59 122 55
73 69 59
89 141 87
58 30 27
42 35 46
55 26 95
73 26 97
32 65 86
133 70 51
53 74 80
100 52 53
98 85 57
58 113 61
141 4 39
34 109 5
2 140 72
79 54 37
57 138 6
77 94 80
140 28 19
107 75 87
16 101 61
148 15 99
20 158 66
22 50 36
69 3 65
86 139 46
108 131 12
131 43 40
79 137 71
93 31 69
87 72 80
23 42 56
134 63 72
14 75 46
158 134 38
141 84 4
11 147 11
132 56 40
153 78 4
13 5 7
106 5 59
50 1 71
74 23 32
7 78 6
2 157 17
105 95 9
63 70 70
153 87 89
28 25 62
132 131 70
76 5 75
146 133 11
129 8 63
145 121 92
112 44 8
26 103 68
55 42 17
75 148 93
156 24 29
43 59 2
74 56 65
137 101 100
125 154 8
81 62 100
130 127 44
153 107 3
18 55 14
95 8 50
83 72 4
48 2 15
16 40 59
139 143 94
102 93 59
14 60 44
147 85 86
123 7 81
108 83 92
121 69 1
31 39 78
150 45 11
146 45 19
47 119 79
113 60 18
55 67 82
1 142 70
12 88 50
105 142 98
40 156 32
105 21 37
75 72 75
152 119 74
11 40 41
78 146 21
149 94 20
149 40 49
45 107 49
1 69 85
49 63 27
93 47 26
41 73 2
131 92 94
62 7 82
71 134 81
106 96 10
153 101 86
28 152 79
5 50 13
72 13 87
44 63 10
108 84 65
71 143 86
14 13 89
97 104 92
22 8 24
143 52 61
55 154 91
35 106 13
155 26 28
5 129 13
131 20 47
98 35 46
143 35 14
140 146 1
61 71 27
69 14 64
87 127 86
29 43 33
27 23 61
87 99 24
40 121 51
44 151 15
154 15 23
48 89 32
30 116 46
75 62 38
103 111 94
89 157 26
58 64 51
14 20 69
141 148 15
157 100 90
141 134 80
62 27 74
81 116 35
119 94 50
75 83 97
64 24 60
6 25 45
84 49 86
80 24 69
137 133 43
31 85 63
12 21 9
107 69 38
112 118 33
28 69 58
18 158 60
43 98 100
119 83 40
135 22 33
24 116 85
144 114 74
129 125 49
66 63 17
82 130 79
67 59 15
58 60 22
103 70 34
112 142 17
87 52 69
56 87 75
158 141 44
72 73 7
29 119 5
65 96 25
111 84 43
69 53 5
142 42 35
92 121 78
64 145 98
71 119 92
101 33 71
60 23 24
99 84 61
144 157 13
30 139 42
51 156 64
22 116 69
18 82 78
78 81 30
42 154 90
116 105 12
74 127 92
84 150 2
42 79 96
46 44 67
73 57 65
83 55 31
32 102 97
141 63 69
126 65 50
51 131 7
42 126 28
89 88 24
39 52 61
53 31 98
31 59 23
51 78 37
125 41 70
79 95 18
148 4 33
116 43 42
89 104 5
61 99 79
143 42 43
12 120 86
32 99 64
154 51 79
76 27 38
77 118 8
106 8 8
158 89 96
58 13 39
36 62 50
7 22 55
101 85 95
29 4 31
84 134 35
53 69 66
10 61 43
48 99 72
79 110 33
152 17 29
140 55 74
66 70 10
140 148 36
62 126 6
94 100 29
63 8 75
58 45 27
19 58 81
66 28 13
23 147 94
150 104 5
120 73 90
85 136 24
25 13 7
55 93 42
23 86 84
148 140 51
18 21 81
19 44 33
72 81 45
118 97 45
145 95 19
110 25 67
89 60 55
101 20 86
122 16 85
104 123 60
119 120 33
124 142 74
112 45 74
39 15 92
145 63 72
68 88 97
97 142 27
112 132 42
13 105 88
51 82 20
66 12 46
1 81 40
109 45 50
113 63 89
144 35 41
76 41 35
40 101 76
45 95 55
62 26 76
121 146 20
7 14 64
144 140 63
75 25 59
51 156 54
106 90 96
123 80 23
44 26 72
147 150 24
142 115 94
58 15 18
48 143 91
96 120 37
144 7 64
9 55 94
57 36 72
2 20 90
75 37 33
14 34 92
18 4 5
113 118 60
2 157 95
30 112 20
32 64 60
145 71 53
36 143 29
138 1 60
137 84 89
4 79 25
75 146 61
17 80 56
123 87 3
60 74 100
108 109 43
140 63 32
12 152 28
20 12 67
25 52 69
143 68 27
65 23 44
88 145 88
60 142 91
94 27 29
138 77 54
99 102 82
64 122 54
72 112 23
54 86 26
92 64 41
93 100 74
91 147 14
47 62 31
105 67 2
62 112 97
36 81 31
83 118 53
144 3 43
113 91 56
40 157 74
55 81 63
46 121 30
45 14 51
106 57 17
88 49 92
145 52 53
149 44 97
155 20 27
132 138 20
142 60 27
126 60 23
108 13 83
125 71 65
65 19 51
30 15 100
126 37 39
35 54 81
65 117 28
70 65 96
52 144 95
75 112 81
84 132 41
157 101 12
38 108 13
119 134 43
22 53 73
131 137 36
60 51 66
57 109 47
124 147 35
63 71 98
106 51 58
2 151 6
88 4 62
28 7 40
56 156 10
80 107 60
117 57 33
111 91 4
16 131 8
6 54 65
147 97 8
94 101 77
90 50 90
66 3 72
76 94 36
29 132 39
95 120 58
90 85 84
52 153 36
32 95 1
2 24 50
48 40 74
108 56 22
92 108 60
81 2 91
149 129 69
60 107 2
109 112 71
113 69 14
34 76 17
23 101 66
76 44 71
157 131 12
86 148 55
6 152 84
26 96 97
98 129 23
43 32 53
97 5 25
12 14 48
47 75 99
69 95 71
82 65 28
70 9 29
95 137 3
57 10 45
101 6 11
101 19 93
84 30 7
92 59 60
149 28 22
75 21 56
34 47 75
136 67 87
80 34 47
35 14 21
101 128 36
39 119 72
13 28 36
66 65 24
13 82 7
136 111 13
140 61 97
12 143 54
6 129 72
115 125 64
108 63 38
94 42 4
113 99 14
105 122 8
117 116 95
53 74 17
21 39 40
146 34 14
107 51 39
123 47 78
123 24 94
100 63 48
84 96 73
156 12 100
24 51 11
95 121 36
47 12 20
61 100 1
36 65 13
142 77 70
17 34 56
47 22 70
69 107 59
15 27 24
71 58 10
138 83 65
74 105 2
105 78 86
43 114 19
26 2 66
146 151 46
132 102 93
131 59 70
29 158 46
11 31 2
136 133 9
55 28 26
55 66 46
54 110 85
155 107 21
42 113 23
136 4 44
93 131 29
66 83 86
75 2 56
100 103 13
49 37 78
48 68 41
48 55 71
115 132 80
90 139 9
150 22 9
73 74 51
60 9 59
49 102 64
127 157 91
51 106 33
125 70 31
37 58 39
154 141 50
103 45 37
152 141 57
136 147 65
153 62 54
82 6 76
145 39 81
82 39 24
79 5 95
45 130 77
106 1 83
13 61 82
5 84 51
83 120 66
107 30 78
52 15 61
101 103 77
68 80 50
70 59 20
32 34 17
2 57 73
73 154 52
58 10 4
1 6 83
48 65 93
133 117 18
100 99 20
53 26 75
58 1 35
60 101 34
81 61 23
146 75 64
15 39 91
1 103 15
30 102 71
40 24 78
22 104 42
139 115 90
79 12 75
67 63 53
131 24 62
92 112 25
98 46 100
156 50 81
122 76 65
54 43 8
136 45 58
89 44 45
18 122 67
151 39 18
49 79 57
146 152 23
115 132 93
100 55 98
64 60 59
32 40 69
119 43 93
104 126 63
14 86 96
85 49 75
38 111 27
69 94 74
20 38 69
62 114 87
39 84 40
5 17 38
40 74 20
102 103 23
24 4 69
65 26 34
38 19 29
27 100 66
2 65 54
136 93 70
65 144 26
104 132 79
55 81 43
135 22 78
148 12 100
39 12 20
12 86 40
33 46 29
19 56 62
55 2 15
144 24 82
64 1 94
98 49 3
144 64 38
69 22 90
126 69 88
75 139 15
100 66 85
2 61 56
149 49 48
154 117 56
81 148 4
116 150 87
5 131 1
120 60 98
28 150 69
85 103 23
45 104 73
132 95 43
42 21 15
17 122 100
37 99 61
31 21 64
102 44 94
31 81 78
49 154 64
129 8 75
119 98 42
98 9 51
51 15 21
58 57 70
89 121 18
147 44 61
126 14 13
108 74 56
9 93 32
39 141 35
110 64 90
122 18 78
8 129 73
153 89 3
64 93 74
43 136 90
55 3 73
98 131 49
2 47 98
144 14 14
131 114 89
84 136 5
66 29 82
71 65 58
9 114 91
77 34 91
80 29 61
54 20 15
10 142 40
84 88 77
16 101 86
43 139 15
87 9 26
61 131 76
146 109 52
90 50 47
88 124 84
99 142 88
101 33 93
87 86 89
123 118 82
96 84 61
1 9 83
2 118 14
140 66 12
77 39 25
81 137 93
156 125 70
100 146 63
26 146 55
50 17 77
86 22 16
105 2 97
80 49 48
114 157 51
50 61 83
74 5 8
145 123 47
68 80 17
123 155 85
65 157 35
129 19 66
18 16 11
35 73 28
80 72 31
33 55 68
115 141 24
136 63 74
20 73 73
1 3 44
5 94 67
50 120 25
151 118 50
114 135 68
109 87 56
10 142 17
63 49 93
136 98 31
59 23 50
51 94 3
51 39 67
115 41 22
14 56 35
109 110 39
145 23 44
106 20 4
152 90 36
71 117 81
72 106 39
51 133 29
105 82 72
60 50 40
96 23 28
