160 9169
126 27 44
151 94 64
52 28 82
72 19 34
63 111 67
136 57 78
130 132 88
58 139 56
37 149 100
86 119 68
29 77 42
125 140 75
59 8 11
145 101 84
36 17 41
4 129 34
138 157 50
87 138 4
87 64 18
155 145 53
14 155 17
1 55 67
59 6 86
153 148 41
15 134 42
101 127 90
158 69 36
147 142 69
41 55 62
91 108 89
12 121 48
151 68 24
113 42 87
11 141 94
26 131 28
58 18 8
61 31 63
30 24 72
27 109 94
97 148 100
14 130 81
39 156 93
117 99 60
83 119 26
41 127 59
15 6 99
17 152 66
109 21 100
27 146 97
9 72 60
96 113 54
74 114 25
68 84 97
44 148 96
68 158 46
17 1 18
160 68 81
148 76 41
54 51 89
128 135 95
136 104 41
113 92 42
116 125 99
67 65 32
8 58 77
59 128 38
142 146 57
97 57 79
150 60 67
68 63 51
39 5 58
150 73 6
144 134 31
139 96 94
41 113 29
26 102 40
88 16 57
81 95 75
98 125 38
131 68 42
117 145 17
152 82 2
16 27 57
52 59 13
133 159 73
149 98 66
123 148 25
122 111 82
122 70 44
18 101 34
158 67 73
141 15 78
89 62 9
109 25 60
35 47 40
29 62 86
53 132 87
37 23 84
9 34 23
27 140 12
66 33 93
110 1 84
93 150 86
86 27 50
158 135 69
151 99 100
41 135 30
81 58 21
138 91 85
62 14 31
129 138 59
102 16 49
117 93 69
9 92 85
27 126 6
146 83 76
68 71 9
142 134 73
110 105 33
130 89 83
45 158 76
72 13 32
116 20 8
37 80 79
39 86 9
142 143 14
60 146 85
76 98 17
19 20 68
6 61 57
159 11 100
91 143 4
70 34 97
5 62 53
101 158 34
53 156 26
2 69 68
83 148 5
28 51 98
57 46 95
122 152 45
132 67 69
112 35 65
4 34 81
132 37 82
106 150 60
121 67 91
88 77 12
95 15 2
56 132 27
97 72 39
141 16 46
89 20 95
130 16 89
27 137 90
113 104 81
96 127 31
48 109 53
100 36 83
111 67 20
132 36 15
115 133 56
35 143 16
156 76 73
13 143 10
84 42 90
103 44 83
66 8 8
141 88 43
31 113 24
98 96 76
99 91 22
100 140 32
74 61 69
88 35 28
26 79 14
49 92 2
140 7 91
82 35 6
34 113 21
48 132 50
9 149 69
130 67 67
78 146 54
74 114 80
46 35 25
105 76 42
128 55 36
18 97 21
148 115 88
37 7 61
138 124 62
30 105 92
5 98 86
38 101 73
92 74 45
78 84 78
101 92 56
99 139 76
75 129 89
18 32 40
54 104 7
115 27 23
91 56 88
156 87 100
49 98 59
144 37 32
77 91 70
42 54 23
143 153 38
77 104 9
82 152 15
34 156 81
17 24 70
53 116 77
48 147 11
45 17 21
134 50 17
5 54 29
94 54 77
65 29 32
77 95 81
28 82 2
77 134 9
119 71 40
10 134 47
62 80 90
3 112 63
85 72 23
113 6 6
105 108 64
90 94 100
50 105 21
122 114 34
69 112 92
52 80 19
87 95 41
77 23 33
130 24 73
7 66 9
99 136 33
25 137 71
77 35 43
154 129 31
7 142 4
43 55 9
86 128 49
11 112 66
101 151 73
156 40 14
83 97 38
16 78 63
148 107 51
92 94 70
125 111 23
26 63 8
146 51 34
94 7 99
146 67 15
148 100 11
99 108 55
16 29 26
146 25 18
87 44 52
117 72 78
142 78 88
74 136 43
102 11 39
113 122 86
131 123 59
116 31 77
138 148 98
26 90 3
87 97 63
127 94 3
29 119 28
76 123 21
108 69 63
81 34 82
68 43 15
117 141 33
42 39 47
114 70 48
55 61 20
90 77 1
137 156 26
4 88 22
11 54 74
25 14 98
151 73 7
129 156 36
3 109 20
96 69 24
21 53 41
125 132 95
87 60 73
4 67 84
28 51 45
37 87 42
160 104 74
157 49 22
133 103 87
9 10 97
25 124 91
56 46 42
154 14 40
95 5 12
6 109 21
96 86 85
33 72 99
56 51 93
18 139 60
120 74 78
156 65 33
89 68 46
3 55 26
28 39 48
14 63 16
153 53 35
85 33 40
110 79 61
103 154 10
113 69 34
126 47 1
88 40 40
116 42 77
11 152 70
5 20 16
114 148 65
33 142 50
53 100 54
57 151 41
112 26 84
134 104 53
107 57 18
30 147 23
129 58 93
150 63 4
19 116 22
140 24 86
133 77 47
30 126 85
77 124 60
86 90 25
23 77 35
40 93 100
69 85 55
62 140 62
19 105 48
79 48 99
112 91 41
143 35 17
19 107 94
109 97 60
129 114 1
147 5 15
158 11 46
28 18 59
72 129 99
156 136 47
34 91 71
22 73 97
80 119 44
147 128 85
48 152 60
90 32 82
131 45 84
66 96 17
72 30 12
3 13 55
101 13 60
71 58 43
97 52 3
84 132 64
33 7 80
49 154 22
147 5 28
10 115 89
80 101 3
130 66 4
9 89 69
155 79 77
71 43 41
87 33 36
129 45 5
158 122 11
8 146 20
141 57 77
154 55 16
65 73 22
108 151 53
2 30 89
99 16 50
98 60 32
69 87 90
27 124 70
123 25 41
42 37 43
87 9 29
64 79 69
1 60 92
37 90 32
87 63 36
101 24 87
108 63 61
80 100 20
83 88 44
125 111 78
124 47 69
3 84 69
44 145 18
77 53 88
4 123 21
48 126 33
75 71 57
93 98 19
159 120 32
143 32 58
133 115 18
72 135 24
90 105 34
7 45 18
72 36 18
30 39 61
137 27 75
23 159 12
94 14 49
100 151 76
36 41 92
46 105 40
154 34 91
19 9 19
68 85 67
98 20 94
123 43 44
147 87 56
40 43 79
48 1 95
126 69 98
142 157 35
56 109 32
51 6 90
101 14 28
77 129 96
19 131 22
10 123 60
137 49 76
2 84 55
56 146 35
36 6 84
40 108 36
83 134 1
124 74 13
64 136 40
96 118 92
38 146 7
101 30 93
47 119 16
104 32 15
150 75 56
151 96 59
101 62 45
74 80 71
32 27 94
8 91 93
130 90 40
80 105 97
136 91 25
142 115 51
19 38 36
15 32 88
17 117 45
14 132 63
58 150 19
66 37 68
44 5 91
115 149 2
136 89 100
9 39 48
10 55 23
34 57 7
125 38 97
99 14 70
53 86 66
38 113 72
18 37 80
132 94 79
112 9 27
56 36 38
3 13 97
134 106 46
151 121 65
78 67 19
110 60 79
98 70 62
91 49 74
41 134 11
87 121 70
112 139 29
123 70 28
62 50 79
156 140 73
32 33 6
28 6 60
136 125 36
132 41 44
118 39 23
37 19 73
102 10 73
132 59 98
114 73 80
96 80 55
23 116 31
10 134 36
135 48 85
149 22 44
103 154 91
134 45 49
57 56 77
115 121 74
79 142 31
36 5 6
31 108 45
105 127 66
53 158 76
55 53 51
72 73 6
102 65 22
97 24 80
37 13 12
109 4 58
141 26 65
145 112 9
120 85 1
150 39 78
37 152 26
12 145 57
29 134 19
113 149 57
160 93 36
118 75 80
24 151 55
41 17 95
2 14 55
72 6 73
145 49 74
53 138 80
153 10 72
143 155 99
45 26 85
120 121 45
24 89 79
54 50 28
157 27 10
134 133 30
126 81 29
132 3 7
53 71 26
148 130 64
102 51 100
87 55 92
2 83 47
95 126 49
47 150 68
27 110 55
21 102 30
62 102 93
4 135 86
61 129 78
39 23 10
140 27 10
152 135 56
71 1 4
52 70 70
88 117 7
113 68 81
40 140 67
29 126 33
155 71 38
49 7 26
119 62 63
80 14 21
91 154 75
147 131 9
150 19 95
157 59 96
25 88 49
43 115 11
151 73 9
19 108 66
160 111 79
53 142 40
75 38 69
87 41 62
123 73 18
58 28 71
83 48 16
134 44 28
72 121 49
120 102 21
129 135 100
76 111 26
15 50 76
105 49 91
103 50 63
68 135 77
146 45 96
53 13 47
23 160 22
95 24 27
100 18 86
7 49 33
23 22 88
9 19 40
160 38 72
12 107 33
40 68 32
94 85 10
153 157 94
151 43 79
102 114 7
89 61 45
22 112 78
108 38 31
103 25 19
80 64 97
118 108 57
125 19 31
5 36 83
62 119 5
105 77 58
18 53 35
55 28 100
40 65 40
137 63 55
139 101 79
135 34 84
3 16 49
28 22 59
34 25 86
94 129 66
1 99 90
116 58 36
124 128 34
70 52 62
5 140 32
21 13 81
54 138 62
28 59 99
122 151 24
131 8 19
31 106 54
114 57 83
111 142 18
92 117 41
126 14 81
142 28 69
91 134 41
160 130 37
34 98 89
97 96 11
141 145 71
93 122 15
29 132 28
109 94 6
126 109 25
84 147 51
49 54 22
81 76 29
158 129 16
78 4 17
151 92 88
130 129 25
105 20 8
41 89 26
3 17 4
80 137 49
123 50 100
77 79 22
69 49 66
69 68 79
147 92 39
87 67 36
26 5 3
53 85 16
84 36 75
15 44 61
92 93 47
50 92 31
26 7 49
138 51 17
101 102 9
49 121 89
155 86 95
117 88 22
70 14 25
154 123 14
40 104 78
57 48 38
61 80 12
60 2 68
130 154 95
16 129 85
142 160 93
139 111 96
56 68 20
52 1 25
138 23 39
15 20 10
159 97 50
129 149 77
116 128 67
58 35 45
63 22 41
55 82 15
113 88 7
121 62 31
54 84 57
51 110 28
138 53 39
132 69 62
76 56 24
136 54 11
132 127 3
43 16 87
120 91 62
106 149 92
105 26 78
20 95 34
119 145 8
116 75 69
72 84 37
104 43 18
108 113 18
140 135 25
92 116 20
159 154 45
141 113 91
60 73 82
150 105 45
100 11 17
24 13 27
135 72 68
143 40 18
37 38 99
81 140 53
86 7 71
52 30 42
37 130 38
23 114 82
16 148 30
88 139 76
103 129 10
54 137 54
125 126 91
127 137 12
102 130 6
60 96 42
35 14 98
119 63 73
96 4 86
121 138 96
120 139 92
10 160 78
135 106 79
114 4 6
84 35 91
23 74 23
133 51 51
109 160 52
21 13 15
105 81 3
151 121 67
120 90 92
20 101 40
82 111 5
123 70 30
110 25 16
106 65 60
150 83 16
111 24 81
47 74 86
124 61 35
4 98 59
50 120 14
51 14 63
138 12 10
63 82 30
100 15 98
75 62 39
41 22 78
52 94 53
73 126 67
83 135 42
150 11 5
116 155 37
54 99 17
132 35 93
20 36 72
124 49 38
160 105 35
70 107 29
148 77 42
144 136 99
160 21 41
9 1 13
156 14 97
41 13 86
123 88 33
105 50 6
82 106 24
122 109 31
1 79 41
97 156 9
102 9 92
148 21 2
148 107 42
97 20 84
110 73 46
101 26 69
120 13 100
98 9 43
53 43 74
