29 389
28 2 29
7 29 88
26 24 42
20 28 33
10 23 19
18 4 4
26 1 39
26 25 6
4 7 8
7 17 91
10 2 90
5 11 27
28 2 15
6 17 57
11 25 36
9 20 18
26 12 72
29 19 63
9 12 23
29 2 87
4 28 94
22 21 63
23 12 11
18 25 86
16 12 73
14 20 93
4 11 28
19 21 47
3 20 70
22 24 91
18 26 41
22 15 42
18 19 20
21 15 11
15 11 61
20 6 17
10 11 35
10 18 83
5 3 41
8 2 65
25 21 93
15 25 81
12 17 98
8 16 76
4 15 2
22 15 28
18 1 92
22 5 63
12 15 39
5 22 41
6 19 93
6 9 70
19 16 76
17 19 62
1 20 35
13 26 16
7 3 20
14 12 52
27 26 32
3 27 100
14 5 40
26 19 51
1 11 80
7 6 58
25 19 2
4 16 60
7 18 41
15 6 80
11 28 8
16 21 13
20 24 7
20 4 38
12 19 4
14 4 34
9 26 19
16 4 36
27 3 34
23 7 12
1 19 79
2 13 48
5 8 2
18 3 6
27 17 81
9 29 56
15 11 37
8 20 50
29 6 28
25 9 86
7 6 30
21 17 41
1 12 17
21 18 15
9 13 89
14 19 32
1 24 18
13 22 13
10 15 31
2 6 30
5 20 65
6 8 50
27 2 59
21 6 18
27 3 33
1 10 79
4 1 66
20 14 95
19 10 4
7 5 78
21 10 6
15 6 47
17 7 14
7 2 18
21 20 65
22 16 71
22 8 67
19 21 98
29 21 52
10 20 95
21 13 7
16 20 2
8 20 49
28 27 10
15 10 76
11 14 36
16 26 54
24 28 33
2 15 60
18 3 94
18 19 57
26 7 7
5 16 21
21 8 36
4 24 12
16 3 84
28 10 55
4 23 70
20 4 13
15 28 88
29 23 79
1 16 93
20 2 61
29 6 17
26 28 34
28 25 76
17 12 87
28 17 72
1 10 64
8 14 89
22 25 96
3 2 89
18 4 53
16 17 71
17 29 23
15 5 63
23 2 2
2 19 38
26 16 55
11 9 59
2 8 56
9 16 15
25 14 5
11 10 42
26 28 47
3 2 48
23 28 23
24 4 52
23 15 80
11 24 52
3 14 49
20 9 82
9 19 80
19 1 11
19 14 57
9 12 31
17 18 17
16 21 63
8 23 25
17 18 26
29 1 50
22 19 52
27 22 89
21 8 12
14 3 12
12 19 54
26 5 49
13 22 100
19 5 93
16 12 90
18 23 48
9 28 11
3 25 17
13 27 44
16 9 48
23 11 50
16 2 27
28 25 7
11 21 5
19 1 91
22 20 92
14 6 13
20 14 20
17 2 13
6 2 62
29 16 33
12 20 41
28 11 62
14 9 41
19 2 64
7 23 38
24 8 8
8 9 62
28 1 35
18 3 78
21 26 23
6 13 39
28 24 55
4 21 53
18 11 45
23 26 47
16 17 24
11 25 2
6 11 7
10 2 92
29 7 73
6 17 59
15 8 54
4 6 59
4 9 92
5 14 76
3 25 2
25 22 83
20 29 22
28 8 56
8 19 8
3 17 12
15 7 84
11 3 94
12 27 11
29 4 17
10 6 93
11 10 8
8 21 53
27 2 63
1 27 87
1 21 16
27 8 3
6 22 34
25 11 60
9 7 8
27 6 60
8 26 15
21 18 23
26 18 84
2 26 2
11 13 27
6 5 75
9 17 94
29 22 30
22 21 28
26 2 99
19 16 78
20 5 28
18 22 9
4 2 33
3 23 50
8 1 66
16 4 70
24 26 9
17 27 18
25 28 89
17 25 94
10 3 32
6 2 19
28 3 61
25 2 45
21 5 38
4 8 90
20 17 24
7 24 85
23 15 27
5 17 53
1 22 74
3 24 9
2 5 55
25 5 82
5 18 17
5 16 47
21 26 83
2 12 53
1 12 10
10 22 9
16 7 53
21 19 71
18 1 61
23 28 68
21 12 50
15 27 6
1 16 25
25 29 53
1 3 55
1 17 8
28 14 51
18 2 7
18 15 89
5 24 73
27 17 28
10 9 74
14 15 59
7 6 36
22 4 63
12 22 24
25 16 100
12 22 42
1 25 78
15 11 2
13 20 77
13 14 6
14 20 11
7 11 95
7 24 34
9 1 80
1 9 93
11 29 81
24 20 68
28 21 54
3 2 92
15 6 62
6 17 15
20 13 69
21 22 71
10 4 84
23 20 59
2 27 63
28 18 11
28 17 43
25 12 84
18 8 49
21 15 77
15 20 96
27 20 14
3 20 19
23 25 20
3 16 3
13 8 84
16 25 91
20 10 40
22 23 16
15 8 99
17 11 97
28 5 45
22 4 21
23 16 38
5 17 1
6 2 88
15 24 52
17 12 89
17 14 31
4 11 57
23 4 81
23 9 25
12 14 99
12 5 50
2 23 1
17 8 96
19 15 56
27 16 25
11 14 14
10 21 10
14 3 46
14 16 74
23 5 41
29 7 63
29 8 37
23 18 96
20 25 28
7 20 26
24 19 38
16 3 26
20 3 27
18 25 87
15 13 27
8 22 58
14 4 86
7 3 76
8 26 37
22 25 88
2 26 15
19 9 92
6 5 97
