49 1169
36 23 4
10 1 59
19 15 1
20 2 21
46 6 79
38 17 84
22 7 57
3 7 6
22 42 33
4 28 99
37 10 85
39 41 36
36 8 100
17 30 86
44 32 47
28 9 19
4 33 43
30 20 89
34 9 31
43 46 46
3 10 35
1 9 77
38 20 94
35 16 99
38 35 92
14 24 59
13 36 99
45 5 16
17 36 13
41 17 76
26 44 1
44 10 1
21 33 38
31 39 34
34 32 38
44 21 19
6 38 22
12 10 96
47 45 9
25 15 83
36 28 68
44 39 73
21 45 39
47 36 46
1 16 57
40 34 71
45 11 59
11 46 77
25 19 71
44 20 59
21 7 12
48 28 10
31 29 25
18 15 45
35 3 39
40 36 80
2 21 62
26 49 48
37 15 6
33 9 58
10 27 66
20 16 63
3 40 43
21 5 78
38 32 91
25 36 7
12 30 64
6 25 51
16 48 14
2 34 28
44 16 61
15 24 50
11 24 12
40 2 69
23 7 36
37 7 47
45 14 87
35 11 6
10 43 19
34 43 15
29 31 15
38 17 38
19 21 47
12 1 24
22 3 59
26 30 79
21 3 1
42 13 9
7 11 24
31 4 89
37 41 45
27 19 47
26 12 58
2 47 73
19 14 35
25 12 9
41 25 47
27 4 13
35 43 89
43 42 39
42 19 16
27 32 93
12 27 18
21 7 25
12 30 32
16 20 63
38 35 55
28 37 89
25 18 88
16 13 24
5 15 6
5 6 37
33 19 66
32 38 64
5 38 17
15 43 31
42 37 69
49 27 88
47 38 95
31 43 49
36 47 54
36 12 87
17 45 61
44 18 84
2 14 26
8 16 76
17 45 79
44 18 93
7 8 5
19 29 46
18 26 9
39 3 4
15 5 31
11 24 43
27 20 87
23 40 64
39 43 58
11 16 48
26 4 40
31 9 10
4 5 92
32 39 10
28 13 20
30 7 99
32 22 88
23 42 24
13 46 4
10 34 59
32 34 62
24 9 72
44 4 32
48 16 35
26 36 10
19 4 74
15 23 21
8 9 72
46 19 30
42 16 94
34 49 62
33 39 49
41 16 88
35 4 92
28 3 82
31 27 63
21 34 95
3 30 78
26 18 50
43 33 61
33 11 57
26 36 95
4 45 11
45 2 94
8 34 12
27 39 78
35 5 93
29 27 26
49 27 92
40 32 54
19 8 77
12 8 35
23 34 43
42 18 78
44 15 55
35 9 63
39 8 90
29 39 9
8 36 58
45 46 20
7 28 67
12 1 14
3 12 56
5 11 12
40 34 29
30 29 15
19 25 7
10 14 49
13 10 40
7 22 11
38 10 16
33 26 78
12 46 3
21 43 72
34 6 68
5 2 30
37 26 10
5 44 54
46 39 83
8 45 8
9 23 23
5 18 11
10 47 100
41 20 44
32 18 67
20 17 4
7 47 58
17 43 14
28 49 53
15 33 75
6 31 98
38 43 67
22 25 27
37 17 37
13 48 35
1 7 96
12 29 44
40 28 97
5 7 19
35 32 23
19 27 94
44 31 13
16 45 91
42 14 30
7 6 62
47 8 71
3 12 33
9 17 64
17 26 37
9 49 7
40 3 9
12 4 5
18 37 17
24 9 35
16 23 27
32 26 21
33 3 71
19 23 87
17 38 38
12 15 29
25 33 26
46 28 60
27 22 34
37 34 9
1 9 7
26 22 56
33 7 50
21 47 37
38 43 35
1 38 61
12 19 8
42 11 15
26 15 26
19 13 42
13 18 2
19 4 82
42 29 23
47 18 84
3 30 68
25 22 34
13 36 47
37 13 71
12 8 7
15 3 38
33 35 23
20 14 91
24 32 41
41 8 79
35 30 85
37 15 98
44 42 17
30 22 100
26 33 34
14 30 50
15 49 50
21 22 3
32 13 77
28 44 54
37 42 79
13 20 62
1 26 55
39 15 70
42 46 4
14 8 40
22 38 82
47 28 17
42 1 100
27 14 16
48 10 80
34 26 27
34 15 36
31 49 58
49 48 6
22 32 29
47 6 96
2 7 93
6 24 22
19 15 65
38 12 33
44 5 9
5 39 42
27 26 26
46 42 84
35 28 25
48 30 3
43 14 42
26 29 41
33 23 16
16 5 18
40 22 4
1 23 12
24 37 2
47 17 90
30 1 45
42 23 78
39 31 46
6 16 44
38 45 93
17 7 23
33 26 36
40 35 68
38 39 19
26 10 45
2 36 39
38 48 95
17 38 19
32 3 9
25 33 7
17 30 15
15 27 26
34 33 61
39 28 4
21 1 42
35 31 62
41 1 52
8 42 40
26 14 42
23 2 26
3 39 9
19 3 86
3 46 57
6 30 91
37 16 30
42 16 83
30 20 45
49 46 49
21 26 62
35 34 73
37 24 52
19 49 71
43 22 32
1 42 30
28 1 92
49 30 50
38 22 78
26 8 4
48 8 96
39 26 88
9 12 96
9 42 97
37 28 31
11 4 4
10 32 69
26 40 45
43 24 78
34 40 78
11 21 75
1 23 25
37 39 46
40 6 9
49 44 70
49 1 10
27 32 9
11 43 99
5 32 15
14 27 44
9 17 58
34 22 29
34 39 100
3 24 10
27 15 96
38 26 84
48 4 18
13 43 26
5 19 72
2 38 71
21 35 39
35 12 44
31 39 93
29 42 79
49 25 83
29 20 51
39 16 52
1 27 37
19 49 39
44 10 87
5 35 62
31 29 48
28 1 78
41 48 6
4 19 59
47 18 69
40 17 50
45 6 3
16 4 25
44 35 98
37 16 52
8 44 99
41 18 72
44 37 49
5 24 61
22 46 57
9 17 17
26 11 4
31 41 58
2 23 63
5 26 98
10 23 64
29 36 49
22 16 34
43 12 98
6 18 53
40 8 95
37 39 50
4 11 78
29 9 50
11 46 10
31 1 98
10 47 21
3 14 68
30 46 42
34 24 61
26 13 40
35 32 97
31 38 25
26 3 14
47 37 32
6 11 50
18 16 41
28 20 87
39 45 65
2 27 38
13 12 61
18 46 51
12 40 11
47 6 81
42 26 87
42 17 29
5 12 55
22 30 53
37 45 56
28 49 10
8 35 9
6 41 50
48 36 50
28 29 19
45 6 25
31 33 40
30 14 58
4 46 22
42 23 81
36 11 20
13 39 37
26 44 23
28 10 23
15 24 95
39 12 8
17 24 97
39 44 86
19 44 85
40 24 52
39 33 67
18 49 42
19 32 98
40 37 80
17 5 92
41 3 74
16 2 64
46 15 92
37 14 82
36 29 91
45 23 64
48 8 63
15 10 34
7 41 97
7 16 22
13 3 83
17 11 99
8 45 54
37 28 16
11 21 60
47 40 83
8 13 3
41 27 58
1 10 68
7 46 59
20 48 37
2 16 14
35 42 16
39 42 17
33 20 76
41 48 99
24 1 19
44 13 96
20 11 6
3 14 40
42 1 39
42 47 6
30 34 49
14 11 21
11 35 89
13 19 72
7 23 30
10 20 57
22 3 81
16 9 62
11 28 31
40 34 70
5 41 63
40 5 43
14 22 17
39 41 21
25 27 92
36 44 66
21 7 20
4 9 89
42 15 86
43 2 25
14 10 70
11 15 97
18 15 62
18 40 83
19 38 14
10 37 91
7 4 43
30 4 17
45 23 68
36 33 56
11 31 69
9 22 90
21 48 57
42 32 4
10 19 70
7 26 67
18 35 4
1 21 54
3 10 47
2 1 11
47 20 81
39 23 8
37 38 61
35 27 31
3 25 26
32 19 100
15 28 19
24 22 55
14 7 18
31 43 89
21 45 15
9 4 68
37 18 70
26 27 100
14 29 24
33 12 94
23 46 62
48 10 32
43 9 23
3 26 27
7 30 73
49 32 81
5 40 84
41 10 85
18 38 23
36 20 76
48 4 65
43 23 34
24 28 89
26 23 84
29 19 75
46 42 36
13 25 3
5 45 37
33 28 65
8 41 65
8 10 59
33 9 52
9 22 76
14 43 71
28 36 34
19 1 100
27 24 26
34 15 91
37 38 20
3 28 72
28 25 43
6 33 49
28 49 71
1 13 27
40 8 48
18 20 19
46 33 72
47 20 76
2 22 38
32 43 16
25 3 89
22 37 46
23 15 61
6 4 98
2 41 3
48 30 76
24 32 91
33 24 45
9 31 35
3 12 87
4 5 91
9 20 7
12 4 41
29 19 52
31 5 66
12 14 82
33 25 46
31 46 76
14 33 7
32 14 92
19 35 79
32 16 34
49 24 99
23 42 50
13 38 17
17 33 14
6 13 48
37 46 10
25 12 48
40 3 90
39 30 1
36 14 33
21 44 77
49 17 41
26 5 30
12 9 12
12 15 83
29 33 81
39 7 45
5 46 24
9 3 48
41 20 75
18 29 63
8 18 3
38 35 94
12 31 45
31 1 55
47 10 45
41 33 32
9 48 74
9 3 84
45 33 98
42 41 60
12 35 15
42 10 91
32 11 86
33 12 75
43 37 75
46 37 64
27 48 72
27 43 3
44 2 17
18 37 39
29 23 27
26 16 8
45 38 60
14 42 60
48 43 37
36 41 9
28 24 32
28 43 45
18 27 31
13 2 71
32 15 52
38 11 96
2 21 37
41 35 86
49 16 53
8 45 7
8 37 3
5 26 23
20 24 42
26 3 74
9 22 66
18 6 75
47 20 30
32 19 40
34 46 59
26 15 57
33 19 64
37 5 80
44 34 81
1 32 39
38 1 78
11 19 79
24 37 11
28 15 77
48 21 9
34 39 38
19 17 61
22 24 75
13 40 75
34 44 80
3 1 68
19 20 90
3 20 90
19 42 99
14 19 90
45 7 86
28 4 49
22 17 72
46 7 45
4 8 6
2 9 67
29 21 79
38 9 72
7 10 85
37 2 46
39 27 75
16 43 40
34 15 58
37 2 64
31 7 74
33 7 76
44 33 93
22 23 2
48 26 55
46 32 74
43 4 23
49 17 49
4 10 42
21 6 40
20 9 21
34 19 64
23 49 30
1 31 75
16 4 84
34 23 34
4 11 34
40 21 79
29 15 40
1 6 9
33 13 12
49 11 100
15 6 69
10 41 46
3 47 21
39 10 54
34 41 60
5 32 42
24 15 23
27 40 58
3 5 24
24 7 19
7 10 53
28 33 71
19 24 55
17 26 85
34 33 83
1 9 10
8 21 21
11 3 89
43 11 58
41 1 74
20 35 23
31 18 97
9 10 82
35 37 24
23 29 65
22 29 59
26 15 38
37 44 34
41 16 99
11 42 53
14 41 99
49 29 9
17 16 4
31 1 22
47 38 83
1 42 61
10 48 90
36 3 8
44 3 74
28 18 63
35 9 47
38 24 51
38 17 12
12 10 56
31 22 81
47 35 23
20 49 88
35 21 39
42 26 11
34 41 55
32 10 84
42 34 24
41 3 3
7 18 43
1 39 28
26 4 28
46 35 88
3 14 95
31 46 47
21 42 91
11 26 77
22 48 31
25 37 76
10 3 41
45 9 76
24 28 73
19 37 96
19 4 71
39 40 13
8 32 40
32 38 38
35 5 54
41 32 11
48 26 45
5 47 58
18 2 17
33 20 14
21 49 99
24 34 9
48 36 95
39 17 47
12 21 51
48 30 42
18 8 96
5 28 53
41 29 32
15 5 5
22 6 24
7 28 64
42 2 76
26 12 18
16 15 98
44 42 33
38 19 53
42 20 84
44 11 27
7 41 12
16 29 52
25 48 62
8 38 64
17 36 89
40 6 53
42 47 56
11 26 72
30 29 21
14 35 1
13 14 7
37 20 67
31 27 19
36 8 59
13 14 25
46 28 71
10 24 68
46 20 67
3 18 69
49 14 100
35 12 88
19 4 75
1 27 72
10 9 52
18 2 21
47 38 64
11 33 43
3 31 53
42 22 4
14 37 55
46 10 49
1 46 21
36 5 35
1 43 34
19 39 47
37 18 26
40 25 25
11 45 35
18 23 89
41 11 77
33 13 15
31 5 9
33 22 82
13 42 83
20 42 48
40 6 39
25 19 12
36 7 53
25 40 44
38 19 57
48 34 25
1 16 34
45 40 63
41 36 17
35 12 65
42 13 85
17 29 81
47 30 28
35 6 12
33 8 30
17 33 51
13 24 79
16 12 41
43 25 26
23 32 61
18 2 16
40 30 90
47 11 51
17 22 32
42 21 34
49 40 89
34 42 9
21 30 48
11 21 82
19 39 24
11 14 43
16 49 63
35 40 19
38 7 60
42 8 91
41 23 37
27 36 68
32 29 73
20 8 32
23 40 28
30 5 26
2 47 23
21 39 62
8 7 76
18 48 15
31 35 93
27 32 52
10 35 86
5 31 44
24 29 14
23 10 23
9 33 18
27 14 22
37 11 97
41 28 17
46 20 57
30 42 29
3 15 44
11 31 15
17 40 76
16 29 89
38 1 21
10 30 7
36 29 99
19 27 27
25 3 13
11 40 63
43 22 34
16 41 81
27 39 19
27 12 97
1 11 35
34 44 41
12 31 77
48 33 29
3 41 74
36 11 32
20 1 6
26 3 3
3 26 40
13 43 19
40 12 81
48 44 56
10 36 37
25 17 50
6 11 48
8 7 89
