197 953
86 150 20
35 190 5
78 16 43
72 22 30
65 2 7
142 7 57
112 1 12
34 88 50
104 177 75
119 124 29
180 143 100
162 88 10
21 184 58
130 132 97
75 139 89
142 102 74
150 169 16
29 194 51
60 113 95
83 179 86
44 165 46
133 97 19
161 64 89
153 103 16
81 31 78
171 138 81
172 58 1
124 109 62
146 44 19
87 177 75
142 155 40
150 78 10
158 147 99
197 16 85
183 9 39
170 136 44
179 92 63
190 167 32
127 55 18
155 135 35
50 55 38
97 154 40
58 77 76
33 175 90
161 118 37
23 10 96
120 87 14
5 49 22
126 42 23
143 197 45
25 3 59
54 51 67
128 41 60
124 143 23
2 172 69
20 112 18
191 133 36
187 117 16
152 195 51
189 100 95
166 61 68
114 126 71
143 167 31
21 124 62
106 99 13
140 25 85
90 128 58
189 120 100
47 160 80
37 167 23
26 95 56
66 179 45
152 83 93
164 195 11
147 146 7
21 181 25
169 196 38
45 42 41
161 191 26
184 160 66
73 135 98
127 167 56
44 55 30
159 90 31
149 175 72
15 20 48
23 24 17
197 190 52
193 90 60
91 175 3
1 38 94
72 119 65
11 29 95
100 158 3
147 54 54
128 105 76
9 19 35
82 28 42
132 169 2
58 171 92
89 182 74
69 158 41
76 126 23
2 118 92
131 14 94
52 173 49
149 23 77
109 116 49
175 171 18
70 169 99
118 161 77
196 88 27
173 20 94
102 32 40
158 192 69
188 191 59
77 52 69
89 136 61
133 101 91
147 163 91
28 107 54
175 170 49
158 6 95
8 45 4
132 13 46
71 48 33
180 20 5
148 29 59
67 137 66
11 134 27
30 54 67
98 111 46
20 45 71
50 154 7
126 64 41
1 7 83
188 56 99
174 68 13
77 176 68
43 151 44
137 52 14
77 125 13
159 59 65
67 174 60
180 44 66
135 63 30
105 120 15
176 124 41
197 50 27
145 161 92
156 121 24
152 16 66
26 129 30
46 26 47
152 161 12
48 148 55
66 188 4
162 50 80
62 108 79
26 33 71
92 67 49
120 105 21
151 12 100
147 31 10
61 38 70
135 58 64
161 86 52
170 43 39
174 138 49
137 192 66
43 149 12
164 133 44
111 23 11
12 26 61
35 141 74
10 79 43
143 114 14
62 154 69
125 37 42
151 122 93
119 32 29
90 96 82
122 38 69
138 155 79
183 31 2
81 80 27
46 66 69
147 139 97
122 116 6
131 103 31
87 42 96
103 91 57
53 163 52
146 31 38
77 1 57
189 51 80
144 76 16
154 31 57
71 131 21
130 8 9
119 146 1
69 79 88
6 86 2
53 73 5
175 183 67
168 36 2
158 142 67
101 62 89
197 46 20
108 82 68
120 179 77
15 136 64
78 101 79
83 60 82
165 104 14
110 1 97
99 133 75
130 196 65
40 159 5
161 91 36
183 130 21
5 63 13
20 162 84
73 184 69
112 25 47
165 108 2
104 173 39
191 82 56
148 138 86
187 156 100
56 33 63
116 31 13
53 153 15
89 28 68
127 145 3
16 30 70
136 179 56
191 105 48
62 132 8
86 189 76
152 64 87
111 71 69
128 49 31
71 193 98
13 66 74
176 148 82
183 24 79
181 177 90
10 131 71
152 47 12
132 147 98
94 120 78
6 89 20
41 80 66
144 121 64
92 22 18
47 19 71
42 50 86
169 164 7
102 101 7
115 83 69
64 49 52
9 197 3
29 99 97
191 184 62
168 50 62
162 15 89
71 197 100
34 191 99
116 71 90
48 33 59
134 38 67
96 41 90
31 142 92
114 67 72
28 169 67
168 72 76
12 181 69
121 92 22
27 43 92
168 191 42
15 96 98
109 122 44
52 58 20
81 86 59
152 111 19
45 159 30
67 74 84
110 52 25
126 196 60
65 179 98
127 11 48
100 59 57
169 125 74
149 189 76
77 145 51
130 188 60
196 148 8
81 46 99
124 87 70
32 170 42
143 122 97
90 35 75
167 105 31
193 149 44
53 10 87
177 163 41
43 51 40
124 37 78
51 49 22
118 134 44
30 50 45
110 44 97
187 98 85
132 15 13
49 194 32
24 176 26
81 18 54
167 2 51
35 76 74
155 158 60
99 101 99
149 82 70
33 158 42
95 120 18
157 190 31
59 3 94
26 40 40
84 147 22
80 20 6
173 110 92
48 92 90
165 171 16
109 124 94
1 96 90
177 131 38
16 30 28
25 166 14
142 171 75
164 67 47
25 124 17
16 29 50
189 72 92
58 7 66
11 79 25
117 92 71
196 57 95
178 132 16
33 102 48
51 18 47
31 28 78
19 140 72
78 185 4
41 152 40
124 179 40
79 107 53
141 29 91
183 66 57
103 126 88
84 19 88
188 120 90
113 168 73
124 111 9
26 177 22
38 33 86
167 176 45
86 47 98
20 153 95
195 157 22
104 25 75
149 170 34
112 11 83
128 75 9
140 152 49
195 51 50
91 54 19
7 133 50
39 24 1
38 28 93
2 28 2
94 169 31
139 176 47
191 114 77
2 140 63
62 120 14
68 186 23
75 44 13
80 22 37
139 92 53
116 138 92
170 101 81
16 93 66
133 51 46
118 104 11
180 192 55
84 70 34
123 171 63
118 113 87
189 59 4
63 58 87
174 97 94
165 66 97
169 62 83
101 130 37
186 139 78
108 49 95
123 87 69
85 38 49
122 56 48
47 60 43
72 87 51
81 127 54
49 52 41
143 28 11
145 151 93
186 101 51
112 102 89
16 150 56
148 92 76
152 151 76
71 190 14
81 37 26
125 20 17
24 45 62
2 49 20
142 159 82
125 135 13
104 132 71
13 102 79
132 125 13
192 145 37
128 98 91
142 28 25
8 121 66
32 55 45
32 67 19
118 62 89
132 197 56
150 69 85
30 178 35
107 14 62
23 188 25
100 35 89
139 106 77
174 172 12
137 60 58
132 48 49
36 55 62
7 117 87
41 101 82
96 195 2
81 119 54
156 137 32
192 79 51
67 126 92
22 189 81
191 141 57
65 87 80
153 125 34
191 91 47
138 111 77
186 80 90
151 168 12
35 102 52
185 75 61
17 143 7
166 107 79
78 43 58
43 30 73
176 177 79
142 81 4
75 133 80
100 172 53
35 159 70
54 12 12
53 1 67
118 102 67
48 17 40
86 149 76
18 23 25
71 148 11
70 197 75
34 146 25
54 171 23
75 194 41
167 68 79
192 15 43
164 43 15
49 189 36
79 18 91
1 160 73
34 197 76
90 138 26
80 18 25
194 146 29
151 34 16
89 165 2
5 142 100
164 85 39
90 74 90
82 11 6
44 168 45
173 40 80
32 118 64
107 79 24
165 6 32
108 46 51
89 125 51
4 143 52
30 112 62
6 52 40
182 96 55
100 143 3
131 52 3
116 108 45
152 127 59
20 149 51
31 81 33
90 82 66
149 194 88
78 115 5
142 166 61
104 99 5
96 12 29
69 67 70
70 29 68
25 65 32
36 45 20
158 119 7
135 113 30
83 157 42
161 172 33
17 167 99
83 31 73
23 159 73
87 94 25
127 47 17
162 160 36
33 109 8
172 92 50
37 90 61
47 116 26
66 143 32
75 100 10
43 103 48
25 156 15
147 184 41
129 12 23
176 11 28
158 5 17
23 50 31
43 93 12
180 8 16
17 110 76
187 25 61
131 7 94
116 31 67
162 179 9
138 118 75
188 5 42
137 6 45
182 36 26
184 75 29
151 80 10
168 24 59
67 180 21
25 82 98
113 130 22
66 130 61
25 108 7
38 173 23
167 50 24
83 66 8
172 124 87
22 56 13
91 17 58
57 161 90
79 121 57
50 25 25
17 190 68
85 52 12
34 66 10
49 66 32
