167 10295
141 65 99
120 89 78
122 94 49
37 147 91
107 79 58
60 120 98
124 83 32
36 8 100
142 126 32
117 4 39
100 60 79
136 66 83
117 64 90
75 151 63
55 84 15
117 141 44
57 98 55
63 120 8
112 12 26
103 139 23
56 166 78
68 147 83
75 100 17
81 24 48
140 110 30
2 101 59
12 24 31
164 78 20
135 127 66
152 16 90
157 116 87
20 42 98
127 124 14
155 39 71
99 5 72
56 152 35
61 93 2
141 122 94
71 47 78
69 67 63
126 147 58
66 36 15
30 121 5
14 12 89
9 3 68
135 74 68
56 48 99
7 90 43
94 92 59
52 14 52
163 123 1
55 28 96
138 94 7
151 82 80
6 143 30
162 163 49
123 105 73
1 59 14
91 77 79
67 100 40
94 66 6
29 114 58
165 100 45
117 114 45
18 150 85
106 8 19
143 24 85
79 108 84
2 33 22
19 68 100
71 28 78
67 63 94
77 131 74
96 87 38
1 133 84
141 154 59
109 90 55
82 153 64
87 39 95
167 53 27
31 16 49
139 101 88
5 10 76
58 128 14
77 1 85
140 7 49
80 108 4
54 145 74
72 64 8
115 101 38
37 30 3
166 63 1
158 11 57
69 115 66
92 22 42
15 129 44
76 94 57
44 104 2
160 112 100
54 113 14
167 120 94
87 116 32
29 83 24
66 112 36
38 19 83
138 102 86
89 62 9
150 67 83
75 51 100
20 43 29
4 49 13
91 99 93
9 15 10
53 30 76
57 74 87
104 160 51
110 135 47
138 56 91
151 71 38
70 77 77
105 27 20
80 100 18
145 51 63
35 52 10
130 93 81
26 159 35
149 79 66
116 34 51
54 71 30
43 51 64
24 82 19
91 46 58
134 38 86
116 85 16
159 37 32
29 25 32
125 2 62
126 164 91
112 50 10
63 102 60
40 153 87
154 108 38
148 125 13
98 155 51
100 62 2
102 164 41
107 105 8
52 130 27
150 59 97
29 77 84
133 142 11
94 9 90
99 129 59
110 109 44
134 84 30
167 123 95
16 29 92
107 132 3
145 2 39
46 29 56
162 95 95
52 137 80
144 80 26
40 147 26
4 19 96
20 7 38
37 163 90
128 166 63
95 6 61
80 14 85
121 62 40
11 14 68
137 100 12
37 153 45
139 58 70
30 131 11
136 96 17
110 17 54
133 26 41
35 116 21
41 160 49
26 22 19
88 96 25
87 4 59
131 148 10
144 91 13
162 138 34
140 24 18
27 118 77
79 4 69
43 64 29
89 33 34
120 144 82
60 154 43
62 92 61
157 110 98
111 67 20
72 160 41
41 143 1
58 150 17
19 92 41
149 55 85
52 2 97
48 166 35
154 130 52
123 82 23
79 147 10
152 60 80
107 108 9
83 101 64
13 122 72
108 107 74
156 120 35
139 87 3
15 135 39
133 83 36
26 82 19
100 101 40
68 160 26
36 110 44
102 75 79
42 105 12
58 159 79
78 139 14
149 128 51
15 165 39
104 80 43
24 57 55
42 84 74
22 20 31
94 87 12
62 40 5
90 20 17
66 1 18
97 59 59
143 45 91
102 118 18
21 38 17
163 1 79
155 79 9
46 116 27
51 86 56
9 162 21
135 40 84
20 27 19
5 140 96
26 33 32
75 152 86
93 38 72
84 97 52
53 77 85
159 118 26
62 24 37
57 60 86
79 47 34
124 12 7
42 93 28
23 35 53
81 65 79
12 122 71
163 58 74
151 95 36
94 100 85
45 40 18
101 124 78
65 4 96
73 135 17
4 3 73
71 140 40
141 36 84
159 57 29
81 51 36
143 106 97
141 93 66
44 18 3
32 143 23
122 127 94
58 132 29
75 128 92
58 151 42
12 129 87
36 138 78
165 76 11
101 128 89
36 55 80
142 67 74
19 143 72
