65 1267
51 5 74
35 13 98
28 4 84
51 1 76
37 11 22
1 24 43
16 18 41
45 42 28
57 64 34
15 11 57
6 34 2
58 37 21
50 5 55
48 42 66
17 40 5
20 55 14
42 44 91
13 37 31
64 25 21
41 18 8
6 31 90
25 45 51
25 23 32
35 17 63
40 44 70
26 4 22
59 40 69
4 60 9
42 11 7
35 43 93
9 53 23
8 42 69
56 15 56
46 53 1
20 65 76
11 64 66
27 24 89
10 2 66
56 9 97
35 13 42
21 39 84
36 9 40
2 40 15
20 23 51
1 34 96
23 2 50
34 7 60
16 47 7
65 52 82
31 42 56
58 35 64
30 23 74
40 44 60
36 51 14
24 22 32
35 40 36
32 64 48
34 35 14
12 10 76
8 25 34
37 20 56
49 4 66
54 33 3
38 44 9
59 4 78
22 43 39
4 1 71
29 51 62
45 19 2
32 4 10
29 28 78
9 49 20
35 62 73
48 33 82
32 48 58
40 15 99
6 39 10
35 29 17
32 41 18
33 14 62
65 27 100
16 50 7
31 53 60
5 61 65
51 36 88
33 36 85
51 53 33
48 24 95
44 46 5
19 15 87
3 10 85
29 51 52
25 29 41
31 26 56
5 43 30
45 63 34
58 43 12
59 12 49
19 25 72
25 54 70
57 17 27
57 6 97
23 12 79
56 2 15
59 21 26
65 30 15
48 65 81
50 64 29
21 46 22
59 35 46
40 9 23
16 18 86
40 19 73
25 55 11
50 1 94
41 26 80
15 43 54
43 58 24
15 14 27
49 14 37
13 52 83
2 50 35
22 61 45
6 32 95
1 50 10
22 11 44
41 6 79
24 63 84
60 30 96
50 60 13
4 2 72
41 9 89
15 16 86
16 53 34
3 48 56
43 42 70
9 14 77
51 3 12
56 51 18
57 3 95
18 53 30
50 33 9
34 11 98
21 4 23
63 13 79
2 18 36
11 6 26
18 46 27
36 52 47
21 34 14
49 36 51
9 29 97
40 46 57
41 35 96
5 22 72
4 49 58
64 23 95
45 1 44
42 30 78
8 37 49
9 26 64
61 20 66
18 44 75
62 7 95
36 40 50
56 24 19
15 8 77
11 52 5
39 53 21
19 13 96
60 65 20
16 17 42
8 5 78
41 2 53
54 28 90
50 24 35
57 64 36
54 41 29
64 35 60
43 60 91
63 38 98
28 47 24
12 7 65
16 31 98
10 48 73
40 28 78
54 2 37
50 48 19
8 1 85
10 20 10
62 64 67
46 3 48
22 24 84
40 22 76
25 50 10
52 40 48
47 61 54
9 23 26
61 19 68
49 9 36
36 47 56
34 54 3
27 60 37
16 45 94
8 28 52
60 44 72
34 55 4
58 17 63
37 11 99
13 46 15
52 44 31
11 50 48
29 2 97
23 56 46
8 32 63
28 47 99
39 10 31
18 26 6
43 18 56
50 16 34
46 33 38
31 8 65
47 62 8
49 30 85
54 12 90
62 22 37
14 39 17
21 31 59
27 20 70
10 1 85
16 30 77
62 39 98
47 7 86
53 65 12
29 6 57
38 49 62
43 55 77
58 5 56
64 42 20
37 15 100
15 3 76
51 16 19
63 15 35
18 40 16
31 3 84
63 62 3
3 49 60
23 8 85
30 12 57
44 30 22
3 65 46
60 3 100
56 45 25
13 11 81
44 11 44
54 20 25
50 3 67
13 46 80
64 55 93
56 17 47
