171 484
143 161 6
34 16 25
123 89 4
100 27 55
36 157 80
150 68 95
171 92 78
76 38 46
48 57 78
130 146 13
154 143 39
87 134 96
123 30 30
91 51 90
168 154 55
152 22 3
84 64 73
16 24 88
34 106 76
26 102 100
24 144 5
157 9 95
112 162 77
160 7 98
71 37 10
48 85 50
120 100 97
26 122 23
52 108 42
5 26 39
155 135 44
116 4 84
10 93 11
15 160 54
66 140 100
158 71 72
58 6 61
169 98 1
104 58 82
57 82 69
114 53 59
126 164 21
164 94 99
30 63 8
81 143 88
130 131 86
35 97 78
134 139 31
122 139 28
122 119 59
5 86 57
18 126 11
152 112 21
68 123 97
137 93 60
46 136 49
143 132 50
128 34 34
3 20 65
131 91 76
52 111 74
49 13 27
92 47 85
56 120 82
62 101 72
164 70 20
73 158 85
46 44 41
29 45 56
91 8 86
158 22 57
32 60 65
55 42 3
49 122 73
65 131 87
54 138 89
128 55 61
92 43 92
142 120 49
106 67 41
31 5 44
123 137 6
82 9 41
40 47 75
11 122 30
159 88 91
161 9 97
32 84 3
2 19 86
132 47 39
141 139 15
118 66 50
141 88 40
145 167 18
145 112 82
40 116 66
40 128 31
74 35 90
160 124 87
114 75 59
90 121 31
84 49 9
168 163 88
111 20 99
74 32 48
128 108 94
141 99 72
91 28 46
34 37 68
27 161 48
36 101 1
57 27 68
51 117 73
24 136 31
9 13 80
18 97 36
97 106 83
112 60 14
123 126 85
148 151 43
165 129 70
53 156 26
166 141 31
11 143 61
101 85 77
140 114 78
85 4 89
122 23 53
169 136 52
119 55 3
2 136 5
64 16 19
151 110 81
4 118 75
52 64 86
91 125 67
47 107 22
163 69 5
137 127 20
74 71 3
53 74 95
29 83 18
14 30 63
51 134 13
10 132 35
136 54 38
156 78 34
97 156 11
171 155 81
69 101 84
1 168 17
23 169 68
43 47 43
71 145 58
143 114 75
76 95 20
128 43 85
167 156 6
1 99 2
128 158 44
27 165 53
128 158 53
19 95 70
51 38 22
142 9 18
62 59 14
170 95 39
134 84 38
44 140 17
129 120 22
20 116 88
137 25 97
101 79 81
131 121 14
103 55 78
70 84 83
120 51 16
150 116 45
137 170 66
19 33 90
58 148 42
105 144 23
57 149 47
1 102 53
55 151 91
38 84 43
32 142 68
32 135 29
18 133 73
101 17 12
32 75 5
31 14 54
145 51 47
166 31 94
67 131 46
48 79 11
126 162 20
112 8 50
149 142 84
37 82 100
143 65 64
158 61 81
15 22 17
116 59 51
151 7 54
136 63 49
103 77 83
85 102 78
90 60 53
32 62 66
78 129 76
95 92 49
49 37 6
123 65 13
67 52 4
171 108 93
145 168 38
91 131 72
72 125 46
17 89 59
144 100 69
160 162 25
120 124 93
62 154 25
18 94 63
98 91 95
131 84 81
25 169 32
25 43 54
120 106 35
131 168 62
93 67 93
104 151 34
32 128 7
140 141 30
27 86 100
77 38 81
166 104 56
12 170 88
53 3 46
94 65 58
73 102 91
58 98 35
60 121 61
77 162 61
164 160 79
53 29 58
151 60 32
96 23 43
56 18 83
162 77 16
40 12 36
169 71 14
33 163 2
8 11 5
17 146 17
145 159 50
65 11 67
44 137 66
60 109 91
21 44 77
112 53 33
33 141 86
163 95 63
125 140 50
110 19 38
118 12 16
68 148 26
167 99 34
85 101 53
20 165 22
96 150 97
85 145 7
145 18 61
39 169 61
131 15 93
91 170 49
110 87 56
128 125 84
135 67 17
18 117 50
100 11 99
162 49 34
104 33 19
33 9 24
78 47 27
137 7 28
44 171 68
37 59 60
13 101 67
65 57 52
56 19 65
52 138 71
98 86 77
156 108 84
4 17 55
54 75 17
69 130 62
131 155 85
84 72 46
