70 194
46 48 51
15 12 79
60 16 96
50 67 64
20 31 66
45 10 65
48 20 63
26 63 3
34 40 56
60 27 26
17 1 7
5 50 90
57 66 30
61 28 79
70 10 71
3 10 44
66 64 82
68 29 91
35 16 44
67 58 80
4 43 38
7 33 51
10 28 45
25 7 6
35 47 89
21 11 92
4 35 51
25 59 34
5 58 96
22 46 99
17 7 98
30 44 27
44 49 74
61 28 19
43 4 17
49 62 20
29 52 72
22 17 4
32 65 87
13 53 37
32 28 13
1 22 11
61 58 90
36 58 68
41 43 90
58 68 48
11 49 84
29 2 89
43 24 71
37 2 14
2 32 30
23 32 83
63 44 86
59 37 48
51 33 71
37 51 13
29 52 19
22 53 5
26 38 49
48 70 66
20 40 22
28 7 91
48 45 85
1 6 87
2 26 80
3 47 35
56 8 31
58 45 20
58 47 39
38 57 75
14 64 58
66 50 73
10 57 41
4 46 45
45 57 44
64 6 1
33 9 83
62 6 89
67 13 1
56 51 99
13 15 69
27 60 53
28 21 31
66 41 45
14 11 6
70 9 89
8 23 44
35 16 91
36 19 95
29 63 78
8 16 78
69 33 12
57 55 6
39 27 86
5 1 21
19 10 99
16 18 61
15 34 5
36 44 60
23 48 61
35 60 90
33 34 80
58 35 23
56 19 99
15 33 43
29 49 35
70 54 16
11 13 66
63 8 38
25 1 51
42 48 67
68 32 29
28 37 13
1 29 15
13 6 79
14 55 89
59 64 86
62 8 13
53 27 38
5 22 73
13 31 17
41 9 32
69 35 14
16 25 68
65 16 4
44 35 97
19 57 8
58 41 77
11 58 100
3 46 72
22 49 64
64 33 82
48 23 17
30 21 92
44 25 77
2 27 35
9 24 3
13 16 92
23 41 90
25 15 73
41 14 94
17 35 92
46 48 45
41 38 88
47 45 26
32 55 100
42 28 56
70 3 29
56 39 26
24 48 81
55 8 78
36 45 67
64 60 83
29 51 42
15 2 89
14 35 17
8 19 85
3 40 33
27 37 4
47 45 28
30 28 29
2 50 23
37 64 7
17 20 90
37 67 42
25 45 100
49 12 45
25 34 63
6 20 99
47 3 80
17 62 62
19 24 54
39 19 68
57 29 25
69 8 30
20 44 34
48 19 92
63 49 17
27 60 47
6 3 6
26 69 72
10 16 36
47 66 16
57 1 79
38 27 13
65 20 20
67 13 16
21 50 4
40 32 46
46 66 39
38 69 31
18 42 29
18 31 93
61 1 44
