158 2322
141 99 12
122 82 75
90 120 82
135 25 41
37 136 45
28 87 82
50 77 62
64 2 47
72 79 21
104 120 35
105 135 46
150 38 81
34 136 1
35 94 27
54 49 26
86 63 29
140 8 19
139 90 89
40 69 29
16 145 82
86 31 82
25 68 85
96 145 30
30 41 40
156 72 48
123 67 69
107 6 50
111 12 35
104 50 96
7 15 13
62 50 45
16 102 12
80 130 74
112 4 35
32 12 34
35 87 1
39 131 36
17 58 59
24 63 39
120 70 91
76 6 75
21 98 36
158 136 39
59 2 65
53 38 90
115 153 72
135 91 98
127 32 29
85 102 6
121 65 66
10 9 92
15 37 64
60 104 85
78 157 13
31 68 60
74 109 31
148 102 35
71 18 5
143 109 57
150 130 46
152 48 5
4 9 80
151 23 92
122 36 47
47 127 10
157 4 100
5 47 79
58 137 98
54 78 20
116 80 69
114 126 43
149 42 86
71 31 65
131 47 19
9 125 20
82 39 55
115 137 82
6 142 55
155 20 25
51 153 32
125 71 63
46 30 26
9 81 99
87 129 87
145 146 94
62 120 71
97 152 65
118 92 76
145 118 32
64 130 33
76 29 48
56 70 85
122 77 61
2 63 40
1 19 52
26 129 7
84 41 42
140 112 20
36 103 24
147 118 65
97 95 60
61 55 100
102 69 61
90 112 35
74 146 25
62 117 43
151 84 93
74 16 95
39 46 44
122 91 80
114 147 84
125 110 4
70 5 93
7 126 90
8 74 48
13 82 5
17 4 27
27 47 63
136 8 35
150 30 34
45 99 26
59 7 3
23 152 7
137 86 15
36 69 45
50 101 88
76 52 50
105 64 64
3 136 91
70 86 22
115 156 85
48 77 3
75 63 28
36 94 74
108 25 45
48 35 6
9 33 12
83 133 26
84 14 74
39 28 9
117 98 17
58 106 78
132 15 59
112 83 20
132 58 20
82 64 79
34 154 68
75 13 68
146 102 43
68 137 88
117 109 67
61 108 96
151 94 11
114 11 28
3 149 37
14 121 74
30 81 10
39 78 23
119 14 92
136 3 54
6 65 40
30 102 69
156 43 40
8 114 74
125 11 100
147 129 5
13 17 51
40 2 30
60 73 91
144 19 29
98 63 43
60 143 6
73 154 27
8 34 86
72 49 66
49 53 75
84 129 94
52 132 99
24 49 74
26 128 50
54 145 31
157 149 67
138 31 42
82 12 23
49 80 28
40 80 70
97 156 15
61 123 57
43 148 85
39 68 71
128 115 51
18 156 71
128 72 89
98 62 92
120 95 59
105 138 17
136 14 81
138 128 96
40 96 50
38 90 64
96 126 84
86 41 50
34 120 38
158 137 94
68 56 89
157 125 95
116 23 21
83 67 84
154 50 41
80 71 56
134 129 4
157 130 30
88 119 4
91 26 65
45 149 56
148 145 51
120 54 35
99 51 84
71 156 30
33 76 4
22 129 59
150 40 64
105 81 97
