156 9705
120 89 78
13 114 59
87 44 63
68 15 35
12 3 80
91 48 62
85 64 48
131 12 54
12 77 29
25 20 32
5 41 60
154 126 94
123 94 73
18 121 68
25 115 40
26 57 66
141 148 26
88 130 76
36 82 22
128 88 24
61 43 60
149 143 22
128 106 78
91 10 76
140 26 36
23 59 87
14 56 11
141 18 37
17 18 9
111 108 3
32 6 99
7 53 40
132 149 66
137 90 33
30 92 85
35 129 26
77 131 61
12 19 37
144 28 23
134 23 99
143 151 69
92 60 79
65 58 9
74 110 14
140 98 33
71 21 25
94 115 6
155 149 64
137 86 35
116 123 40
150 141 43
34 78 9
107 51 93
76 86 99
17 152 66
30 75 10
103 38 75
114 101 1
86 126 67
143 38 20
7 104 99
62 18 70
101 25 55
35 78 37
50 47 29
65 23 65
153 48 52
108 137 19
85 28 57
63 75 76
32 156 56
145 48 62
2 31 97
79 119 98
71 120 17
96 6 49
84 118 43
78 58 7
140 100 92
86 115 29
87 147 42
103 154 34
99 48 24
19 89 51
42 98 75
156 147 32
140 92 93
60 102 53
136 77 59
32 144 59
152 131 39
49 52 9
111 149 30
140 127 50
43 33 61
123 81 79
135 122 98
55 80 97
12 146 67
9 108 80
71 43 39
126 118 26
40 116 71
12 14 69
4 91 10
106 18 23
34 141 24
33 110 68
55 25 53
102 21 43
125 116 70
44 76 61
58 66 51
143 123 53
23 14 60
21 116 16
7 91 11
109 96 61
36 127 9
13 93 42
36 146 22
153 21 66
2 28 54
35 12 59
140 122 69
89 112 72
120 136 3
41 75 100
48 13 90
96 104 58
130 89 83
8 103 75
28 100 14
35 107 67
119 74 3
60 106 13
40 51 76
132 76 61
111 98 54
64 18 70
2 115 63
89 2 92
95 120 69
76 17 92
38 132 94
100 102 74
155 16 45
135 23 51
64 132 91
99 87 62
56 74 73
74 113 4
11 100 14
97 14 85
64 65 37
142 57 95
17 19 47
64 141 32
87 76 70
149 90 93
28 144 33
28 89 97
36 99 44
99 12 9
125 94 14
89 140 39
127 110 50
97 76 37
20 19 48
148 118 23
137 3 79
83 37 66
67 79 23
120 107 79
68 87 87
25 108 92
136 43 90
91 110 69
152 148 72
131 51 77
47 101 81
140 42 72
110 12 60
61 94 53
45 120 39
88 107 39
141 95 46
120 93 36
23 43 90
47 8 38
15 140 33
13 104 55
57 52 7
109 125 91
81 121 49
79 53 82
6 144 81
128 124 15
45 125 9
1 15 26
132 94 77
26 121 11
13 55 18
71 46 29
75 14 18
27 39 26
33 63 52
143 154 21
7 13 36
69 155 59
151 70 17
16 65 41
67 93 92
115 54 5
37 123 7
95 7 16
105 35 4
60 98 97
10 97 31
109 81 61
22 17 26
152 59 97
88 64 32
75 30 83
113 29 41
42 119 68
29 33 16
38 107 9
17 29 64
70 57 83
58 27 17
21 112 3
81 40 73
99 153 95
81 79 1
112 85 33
45 43 74
86 2 99
127 76 24
16 7 49
36 26 63
111 149 85
90 5 15
91 127 89
123 127 21
56 22 6
110 142 21
115 135 91
137 46 7
151 46 23
24 131 17
141 8 9
