198 9492
131 114 65
38 127 45
27 73 37
36 73 81
137 110 29
144 191 68
45 185 100
115 69 3
13 88 43
168 57 10
147 39 79
176 131 59
59 111 18
43 83 95
173 60 37
12 193 96
18 21 66
148 72 81
34 125 71
31 150 23
161 132 80
160 134 72
196 148 61
120 195 73
88 98 16
67 163 83
136 64 94
23 31 25
106 49 44
22 173 84
139 85 10
165 172 93
84 186 80
150 133 61
98 40 5
143 151 69
136 89 43
7 129 35
188 116 11
198 131 41
11 125 86
157 128 33
140 158 84
110 169 73
141 32 56
178 160 47
107 148 26
109 41 42
115 150 62
117 41 55
58 166 27
89 61 54
92 30 28
40 163 49
98 47 21
4 48 58
94 46 64
58 22 19
36 188 57
10 150 95
181 26 48
97 111 73
140 44 39
183 15 68
196 134 31
185 12 54
178 65 15
85 104 52
122 172 79
102 111 68
186 138 55
197 145 49
66 105 20
110 120 86
78 37 69
67 185 97
38 91 94
131 191 28
5 191 87
4 147 50
136 176 38
62 36 100
82 55 27
119 190 81
40 155 63
42 107 16
2 150 31
13 195 77
122 195 76
174 122 69
32 181 62
156 193 40
45 38 25
111 112 84
49 108 25
31 122 44
8 60 15
182 32 21
193 142 52
176 30 100
18 196 42
35 101 47
52 31 72
10 195 93
116 39 8
132 153 39
61 157 26
198 160 71
131 34 57
43 88 10
181 48 62
85 150 9
177 181 68
150 154 92
139 7 35
105 106 84
11 128 63
189 40 53
128 139 55
29 147 22
90 191 99
60 116 85
142 30 16
99 122 43
22 47 68
27 29 73
23 64 2
164 87 54
91 164 50
194 21 92
170 111 80
123 64 44
63 141 52
190 169 22
24 61 81
68 64 6
39 51 15
82 170 84
61 166 88
36 99 31
112 55 61
85 29 25
81 169 94
1 19 65
50 110 57
152 197 59
128 44 60
18 191 61
15 69 19
94 63 97
197 114 28
135 77 58
167 126 100
151 131 1
17 28 96
192 105 7
157 149 77
164 8 3
58 157 44
178 147 29
140 75 7
92 100 72
71 103 52
192 107 53
82 149 38
40 134 87
108 48 70
137 40 25
186 197 48
28 102 36
123 41 9
36 117 98
7 18 17
18 35 56
113 183 24
149 67 82
133 186 30
47 138 27
150 174 33
144 135 83
55 3 81
69 111 40
166 64 53
77 168 62
91 8 21
20 158 99
181 140 27
70 111 64
136 133 20
105 188 85
165 90 79
117 127 93
134 137 54
145 162 41
144 131 85
83 23 23
163 147 63
141 168 36
136 131 95
28 185 47
147 130 6
20 167 40
62 104 71
24 118 52
106 96 66
82 84 6
119 36 87
155 124 62
69 136 46
81 177 65
34 16 88
14 111 15
180 40 71
168 3 84
72 160 54
32 75 1
122 174 59
187 77 3
51 62 100
2 189 95
55 62 41
115 71 93
143 52 94
166 135 67
24 175 47
137 141 39
153 73 56
45 175 72
138 15 11
105 132 58
187 31 8
67 44 28
86 32 86
148 101 45
93 85 63
59 24 36
83 94 37
106 169 5
174 183 13
92 27 91
155 59 94
128 62 52
109 133 49
157 146 10
160 102 26
104 26 49
40 95 67
66 91 32
60 172 59
9 122 70
130 126 71
155 167 14
42 65 74
188 55 45
107 15 36
176 7 87
62 68 80
21 100 6
86 170 33
122 169 78
89 81 77
150 196 23
89 46 56
43 137 65
60 40 24
102 118 31
99 134 95
53 165 90
170 63 81
184 37 40
111 54 90
8 33 88
83 109 35
60 74 22
24 119 20
27 32 12
122 53 24
123 69 56
7 114 50
41 52 87
46 134 30
122 11 27
146 181 23
38 197 36
140 143 62
178 87 84
8 166 65
122 148 32
119 78 56
153 195 8
36 57 5
98 39 39
17 93 38
65 95 76
94 172 82
151 99 47
96 137 61
117 58 22
170 141 14
161 168 73
49 178 14
42 176 39
32 11 69
194 95 69
162 100 23
139 172 49
60 180 17
126 94 87
48 80 91
115 63 56
113 79 9
121 76 17
22 174 56
166 72 94
174 22 27
192 68 59
3 89 65
3 102 4
2 71 48
25 125 74
126 183 51
147 78 60
171 188 35
57 11 46
36 182 13
33 38 88
49 102 32
78 39 51
84 198 66
75 84 62
36 180 88
123 48 67
69 123 92
156 65 20
163 180 53
107 7 63
72 49 23
62 137 61
45 5 50
51 130 71
47 62 87
14 176 65
98 143 1
93 118 40
158 90 84
120 137 13
48 70 32
70 189 39
