185 11766
4 67 82
26 4 55
20 33 36
66 136 4
143 34 60
44 181 18
36 22 35
31 167 71
128 18 73
37 63 97
132 162 22
33 156 91
66 39 44
26 48 17
125 6 75
30 85 69
145 185 78
101 14 92
120 177 83
96 127 84
101 174 44
16 84 94
76 26 99
175 132 55
178 45 47
25 75 89
56 125 77
87 164 20
47 64 23
86 153 66
76 183 19
143 166 71
44 154 36
93 132 57
142 163 35
4 13 88
119 131 64
14 57 85
56 2 91
26 87 66
67 38 88
54 174 62
4 25 98
87 117 66
130 171 56
51 104 29
46 12 10
73 150 2
103 30 93
49 9 57
55 112 90
43 64 95
46 33 69
20 9 42
139 80 16
55 70 93
152 183 95
125 143 93
43 61 26
82 47 69
75 167 20
94 69 75
71 77 78
86 108 13
78 111 5
18 32 93
184 14 12
139 113 85
23 72 39
131 108 17
161 42 55
159 29 61
66 101 9
152 108 42
168 162 22
92 64 26
2 51 76
62 8 25
67 35 32
77 112 61
2 156 92
45 36 3
155 159 85
98 144 75
107 17 78
167 153 29
69 127 63
26 158 80
183 154 82
22 79 31
135 76 90
66 147 17
79 129 35
32 151 62
85 93 78
42 19 11
184 158 33
179 55 4
33 30 62
125 116 57
51 9 47
115 184 36
175 127 87
140 169 47
100 17 4
73 122 10
114 62 22
100 80 60
13 17 71
43 132 40
166 40 17
184 111 79
130 126 16
51 64 67
11 163 44
145 165 71
185 88 62
184 44 25
114 15 31
45 17 87
170 44 13
60 51 64
36 137 81
97 96 20
47 84 61
124 112 48
173 70 67
101 22 12
163 120 79
129 39 80
79 124 54
131 184 1
50 71 89
98 166 89
174 62 31
102 76 100
177 37 60
8 185 23
19 157 60
152 8 66
72 145 67
85 164 92
150 170 73
111 112 97
99 4 51
104 72 59
32 139 78
153 178 13
126 2 93
56 68 16
51 20 10
2 69 55
85 120 22
34 49 34
15 20 6
154 41 92
99 140 97
138 100 26
50 80 30
153 56 23
92 91 10
95 147 51
57 59 21
105 18 92
122 88 47
156 42 5
109 8 69
123 184 45
8 55 34
120 45 6
170 65 85
110 135 60
83 181 61
104 150 19
183 121 52
156 181 56
143 62 56
109 61 80
131 91 52
8 6 34
37 91 93
164 97 75
51 103 21
115 118 58
161 159 26
176 64 3
71 4 73
25 20 87
155 148 56
171 147 100
87 9 53
